,年度,年月日,カテゴリ,節,H_team,A_team,スコア,スタジアム,K/O時刻,入場者数,インターネット中継・TV放送
37,2012,20120317,J1,２,清水エスパルス,サンフレッチェ広島,2-1,アウスタ,15:04,13231.0,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／テレビ静岡
38,2012,20120317,J1,２,ジュビロ磐田,サガン鳥栖,2-1,ヤマハ,17:04,10653.0,スカパー／ｅ２／スカパー光
39,2012,20120317,J1,２,ヴィッセル神戸,北海道コンサドーレ札幌,2-1,ホームズ,17:06,14036.0,スカパー／ｅ２／スカパー光
40,2012,20120317,J1,２,ＦＣ東京,名古屋グランパス,3-2,味スタ,19:04,21757.0,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１／ＴＯＫＹＯ　ＭＸ
41,2012,20120317,J2,３,モンテディオ山形,大分トリニータ,3-2,ＮＤスタ,13:04,6315.0,スカパー／ｅ２／スカパー光
42,2012,20120317,J2,３,京都サンガF.C.,ロアッソ熊本,2-0,西京極,13:04,2901.0,スカパー／ｅ２／スカパー光／ＫＢＳ京都（録）
43,2012,20120317,J2,３,ガイナーレ鳥取,ＦＣ町田ゼルビア,0-3,とりスタ,13:04,2477.0,スカパー／ｅ２（録）／スカパー光／ＮＨＫ鳥取
44,2012,20120317,J2,３,徳島ヴォルティス,栃木ＳＣ,0-1,鳴門大塚,13:04,3572.0,スカパー／ｅ２／スカパー光
45,2012,20120317,J2,３,松本山雅ＦＣ,ギラヴァンツ北九州,1-0,松本,14:04,4471.0,スカパー／ｅ２（録）／スカパー光／ＮＨＫ長野／ＮＨＫ北九州
46,2012,20120317,J2,３,湘南ベルマーレ,アビスパ福岡,3-1,ＢＭＷス,16:04,3602.0,スカパー／ｅ２／スカパー光
47,2012,20120317,J2,３,ＦＣ岐阜,ザスパクサツ群馬,0-0,長良川,16:04,1836.0,スカパー／ｅ２／スカパー光
48,2012,20120317,J2,３,カターレ富山,東京ヴェルディ,1-4,富山,16:06,3470.0,スカパー／ｅ２（録）／スカパー光
49,2012,20120317,J2,３,ファジアーノ岡山,水戸ホーリーホック,0-3,カンスタ,18:33,5576.0,スカパー／ｅ２／スカパー光
50,2012,20120317,J2,３,ジェフユナイテッド千葉,横浜ＦＣ,3-0,フクアリ,19:03,6959.0,スカパー／ｅ２／スカパー光
51,2012,20120317,J2,３,ヴァンフォーレ甲府,愛媛ＦＣ,2-1,中銀スタ,19:04,6161.0,スカパー／ｅ２（録）／スカパー光
52,2012,20120320,ＹＮＣ 予選Ａグループ,１,浦和レッズ,ベガルタ仙台,1-0,埼玉,15:01,23076.0,フジテレビＯＮＥ
53,2012,20120320,ＹＮＣ 予選Ａグループ,１,サガン鳥栖,川崎フロンターレ,2-1,ベアスタ,16:04,4613.0,スカパー！／サガテレビ
54,2012,20120320,ＹＮＣ 予選Ａグループ,１,ジュビロ磐田,セレッソ大阪,2-1,ヤマハ,19:04,8036.0,スカパー！
55,2012,20120320,ＹＮＣ 予選Ｂグループ,１,北海道コンサドーレ札幌,アルビレックス新潟,0-1,札幌ド,13:04,7487.0,スカパー！／北海道文化放送（録）
56,2012,20120320,ＹＮＣ 予選Ｂグループ,１,鹿島アントラーズ,ヴィッセル神戸,2-0,カシマ,15:00,11379.0,フジテレビＮＥＸＴ
57,2012,20120320,ＹＮＣ 予選Ｂグループ,１,大宮アルディージャ,横浜Ｆ・マリノス,1-1,ＮＡＣＫ,16:00,7845.0,スカパー！
58,2012,20120320,J2,４,アビスパ福岡,ジェフユナイテッド千葉,0-0,レベスタ,13:03,5069.0,スカパー／ｅ２／スカパー光
