,年度,年月日,カテゴリ,節,H_team,A_team,スコア,スタジアム,K/O時刻,入場者数,インターネット中継・TV放送
1682,2014,20140308,J1,２,ＦＣ東京,ヴァンフォーレ甲府,1-1,味スタ,15:03,22398.0,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ（録）
1683,2014,20140308,J1,２,大宮アルディージャ,名古屋グランパス,1-2,ＮＡＣＫ,15:04,9980.0,スカパー！／スカパー！プレミアムサービス／テレ玉
1684,2014,20140308,J1,２,清水エスパルス,横浜Ｆ・マリノス,0-1,アイスタ,15:04,17877.0,スカパー！／スカパー！プレミアムサービス／テレビ静岡
1685,2014,20140308,J1,２,ヴィッセル神戸,柏レイソル,1-1,ノエスタ,15:05,13143.0,スカパー！／スカパー！プレミアムサービス
1686,2014,20140308,J1,２,浦和レッズ,サガン鳥栖,0-1,埼玉,16:04,42850.0,スカパー！／スカパー！プレミアムサービス
1687,2014,20140308,J1,２,鹿島アントラーズ,ベガルタ仙台,2-0,カシマ,19:04,15033.0,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
1688,2014,20140309,J2,２,北海道コンサドーレ札幌,モンテディオ山形,1-1,札幌ド,13:03,16064.0,スカパー！／スカパー！プレミアムサービス
1689,2014,20140309,J2,２,Ｖ・ファーレン長崎,湘南ベルマーレ,0-3,長崎県立,13:03,4294.0,スカパー！／スカパー！プレミアムサービス
1690,2014,20140309,J2,２,カマタマーレ讃岐,ジュビロ磐田,1-4,丸亀,13:03,10421.0,スカパー！／スカパー！プレミアムサービス
1691,2014,20140309,J2,２,栃木ＳＣ,横浜ＦＣ,1-1,栃木グ,13:03,6907.0,スカパー！／スカパー！プレミアムサービス／とちぎテレビ（録）
1692,2014,20140309,J2,２,ザスパクサツ群馬,東京ヴェルディ,1-0,正田スタ,13:04,3855.0,スカパー！／スカパー！プレミアムサービス／群馬テレビ
1693,2014,20140309,J2,２,愛媛ＦＣ,水戸ホーリーホック,0-2,ニンスタ,14:04,4327.0,スカパー！／スカパー！プレミアムサービス
1694,2014,20140309,J2,２,大分トリニータ,ギラヴァンツ北九州,1-0,大銀ド,16:03,8843.0,スカパー！／スカパー！プレミアムサービス
1695,2014,20140309,J2,２,ＦＣ岐阜,カターレ富山,3-0,長良川,16:04,7879.0,スカパー！／スカパー！プレミアムサービス
1696,2014,20140309,J2,２,アビスパ福岡,京都サンガF.C.,1-0,レベスタ,16:04,5499.0,スカパー！／スカパー！プレミアムサービス
1697,2014,20140309,J2,２,ロアッソ熊本,松本山雅ＦＣ,0-1,うまスタ,16:04,5521.0,スカパー！／スカパー！プレミアムサービス
1698,2014,20140309,J2,２,ジェフユナイテッド千葉,ファジアーノ岡山,1-0,フクアリ,17:03,7412.0,スカパー！／スカパー！プレミアムサービス
1699,2014,20140309,J3,１,ＳＣ相模原,ツエーゲン金沢,0-4,ギオンス,13:00,2873.0,なし
1700,2014,20140309,J3,１,ＡＣ長野パルセイロ,福島ユナイテッドＦＣ,1-0,味フィ西,13:00,4312.0,なし
1701,2014,20140309,J3,１,Ｙ．Ｓ．Ｃ．Ｃ．横浜,ブラウブリッツ秋田,1-1,ニッパ球,13:00,1477.0,なし
1702,2014,20140309,J3,１,ＦＣ町田ゼルビア,藤枝ＭＹＦＣ,3-0,町田,13:00,4569.0,なし
1703,2014,20140309,J3,１,ガイナーレ鳥取,いわてグルージャ盛岡,0-0,とりスタ,13:01,3962.0,なし
1704,2014,20140309,J3,１,ＦＣ琉球,Ｊリーグ・アンダー２２選抜,3-0,沖縄県陸,15:11,1517.0,スカパー！プレミアムサービス
1705,2014,20140315,J1,３,横浜Ｆ・マリノス,徳島ヴォルティス,3-0,ニッパ球,13:04,11088.0,スカパー！／スカパー！プレミアムサービス
1706,2014,20140315,J1,３,ヴァンフォーレ甲府,アルビレックス新潟,1-1,中銀スタ,14:03,9106.0,スカパー！／スカパー！プレミアムサービス
1707,2014,20140315,J1,３,サンフレッチェ広島,浦和レッズ,0-2,Ｅスタ,14:04,24734.0,スカパー！／スカパー！プレミアムサービス
1708,2014,20140315,J1,３,川崎フロンターレ,大宮アルディージャ,3-4,等々力,15:03,13498.0,スカパー！／スカパー！プレミアムサービス
1709,2014,20140315,J1,３,柏レイソル,名古屋グランパス,0-1,柏,15:03,9265.0,スカパー！／スカパー！プレミアムサービス
1710,2014,20140315,J1,３,サガン鳥栖,鹿島アントラーズ,0-3,ベアスタ,15:04,13013.0,スカパー！／スカパー！プレミアムサービス
1711,2014,20140315,J1,３,セレッソ大阪,清水エスパルス,4-1,ヤンマー,15:04,20323.0,スカパー！／スカパー！プレミアムサービス
1712,2014,20140315,J1,３,ベガルタ仙台,ガンバ大阪,0-0,ユアスタ,17:04,13380.0,スカパー！／スカパー！プレミアムサービス
1713,2014,20140315,J1,３,ヴィッセル神戸,ＦＣ東京,2-1,ノエスタ,19:04,10089.0,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
1714,2014,20140316,J2,３,大分トリニータ,カマタマーレ讃岐,1-0,大銀ド,13:03,7053.0,スカパー！／スカパー！プレミアムサービス／ＮＨＫ大分
1715,2014,20140316,J2,３,松本山雅ＦＣ,Ｖ・ファーレン長崎,0-0,松本,13:03,14048.0,スカパー！／スカパー！プレミアムサービス／信越放送
1716,2014,20140316,J2,３,モンテディオ山形,ＦＣ岐阜,3-1,ＮＤスタ,13:03,7038.0,スカパー！／スカパー！プレミアムサービス
1717,2014,20140316,J2,３,カターレ富山,横浜ＦＣ,1-2,富山,13:05,4554.0,スカパー！／スカパー！プレミアムサービス
1718,2014,20140316,J2,３,アビスパ福岡,愛媛ＦＣ,1-1,レベスタ,13:05,3742.0,スカパー！／スカパー！プレミアムサービス／ＮＨＫ福岡／ＮＨＫ松山
1719,2014,20140316,J2,３,京都サンガF.C.,栃木ＳＣ,0-0,西京極,14:04,8290.0,スカパー！／スカパー！プレミアムサービス／ＫＢＳ京都（録）
1720,2014,20140316,J2,３,ジュビロ磐田,ロアッソ熊本,3-1,ヤマハ,16:03,7998.0,スカパー！／スカパー！プレミアムサービス
1721,2014,20140316,J2,３,東京ヴェルディ,ジェフユナイテッド千葉,1-1,味スタ,16:03,5136.0,スカパー！／スカパー！プレミアムサービス
1722,2014,20140316,J2,３,ギラヴァンツ北九州,水戸ホーリーホック,1-0,本城,16:03,2903.0,スカパー！／スカパー！プレミアムサービス
1723,2014,20140316,J2,３,湘南ベルマーレ,北海道コンサドーレ札幌,2-0,ＢＭＷス,16:04,8269.0,スカパー！／スカパー！プレミアムサービス
1724,2014,20140316,J2,３,ファジアーノ岡山,ザスパクサツ群馬,1-2,カンスタ,17:03,6312.0,スカパー！／スカパー！プレミアムサービス
1725,2014,20140316,J3,２,ＦＣ琉球,ブラウブリッツ秋田,2-0,沖縄県陸,13:00,935.0,なし
1726,2014,20140316,J3,２,ツエーゲン金沢,ガイナーレ鳥取,1-1,石川西部,13:00,2573.0,なし
1727,2014,20140316,J3,２,ＦＣ町田ゼルビア,ＡＣ長野パルセイロ,0-0,町田,13:00,3416.0,なし
1728,2014,20140316,J3,２,ＳＣ相模原,Ｙ．Ｓ．Ｃ．Ｃ．横浜,2-0,ギオンス,13:00,2183.0,なし
1729,2014,20140316,J3,２,藤枝ＭＹＦＣ,Ｊリーグ・アンダー２２選抜,2-4,藤枝サ,13:06,2513.0,なし
1730,2014,20140316,J3,２,福島ユナイテッドＦＣ,いわてグルージャ盛岡,0-2,とうスタ,14:01,2053.0,なし
1731,2014,20140319,ＹＮＣ 予選Ａグループ,１,ＦＣ東京,鹿島アントラーズ,3-1,味スタ,19:00,10353.0,フジテレビＯＮＥ／フジテレビＮＥＸＴ（録）／スカパー！／スカパー！プレミアムサービス
1732,2014,20140319,ＹＮＣ 予選Ａグループ,１,ガンバ大阪,ヴィッセル神戸,2-0,万博,19:03,8378.0,スカパー！／スカパー！プレミアムサービス
1733,2014,20140319,ＹＮＣ 予選Ａグループ,１,清水エスパルス,ベガルタ仙台,4-0,アイスタ,19:04,5291.0,スカパー！／スカパー！プレミアムサービス
1734,2014,20140319,ＹＮＣ 予選Ｂグループ,１,徳島ヴォルティス,アルビレックス新潟,1-3,鳴門大塚,19:01,4234.0,スカパー！／スカパー！プレミアムサービス
1735,2014,20140319,ＹＮＣ 予選Ｂグループ,１,柏レイソル,浦和レッズ,2-1,柏,19:04,9585.0,フジテレビＮＥＸＴ／スカパー！／スカパー！プレミアムサービス
1736,2014,20140319,ＹＮＣ 予選Ｂグループ,１,名古屋グランパス,ヴァンフォーレ甲府,0-1,瑞穂陸,19:04,4772.0,スカパー！／スカパー！プレミアムサービス
1737,2014,20140322,J2,４,水戸ホーリーホック,ファジアーノ岡山,0-1,Ｋｓスタ,13:03,4695.0,スカパー！／スカパー！プレミアムサービス
1738,2014,20140322,J2,４,カマタマーレ讃岐,松本山雅ＦＣ,0-5,丸亀,13:03,2916.0,スカパー！／スカパー！プレミアムサービス
1739,2014,20140322,J2,４,ＦＣ岐阜,湘南ベルマーレ,2-3,長良川,13:04,7222.0,スカパー！／スカパー！プレミアムサービス／岐阜放送
1740,2014,20140322,J2,４,カターレ富山,京都サンガF.C.,1-2,富山,13:04,3761.0,スカパー！／スカパー！プレミアムサービス
1741,2014,20140322,J2,４,栃木ＳＣ,ザスパクサツ群馬,3-0,栃木グ,14:03,4174.0,スカパー！／スカパー！プレミアムサービス
1742,2014,20140322,J2,４,ロアッソ熊本,大分トリニータ,1-1,うまスタ,15:03,9492.0,スカパー！／スカパー！プレミアムサービス
1743,2014,20140322,J2,４,横浜ＦＣ,モンテディオ山形,2-1,ニッパ球,16:03,4700.0,スカパー！／スカパー！プレミアムサービス
1744,2014,20140322,J2,４,Ｖ・ファーレン長崎,ジェフユナイテッド千葉,2-1,長崎県立,16:03,3757.0,スカパー！／スカパー！プレミアムサービス
1745,2014,20140322,J2,４,北海道コンサドーレ札幌,ギラヴァンツ北九州,3-0,札幌ド,16:03,9251.0,スカパー！／スカパー！プレミアムサービス
1746,2014,20140322,J2,４,愛媛ＦＣ,東京ヴェルディ,2-1,ニンスタ,17:04,2554.0,スカパー！／スカパー！プレミアムサービス
1747,2014,20140322,J2,４,ジュビロ磐田,アビスパ福岡,3-3,ヤマハ,19:03,7912.0,スカパー！／スカパー！プレミアムサービス
1748,2014,20140323,J1,４,アルビレックス新潟,サガン鳥栖,1-0,デンカＳ,13:03,21278.0,スカパー！／スカパー！プレミアムサービス
1749,2014,20140323,J1,４,ヴァンフォーレ甲府,横浜Ｆ・マリノス,1-0,中銀スタ,14:04,12281.0,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
1750,2014,20140323,J1,４,徳島ヴォルティス,柏レイソル,0-2,鳴門大塚,14:04,8097.0,スカパー！／スカパー！プレミアムサービス
1751,2014,20140323,J1,４,大宮アルディージャ,ベガルタ仙台,4-0,ＮＡＣＫ,15:03,10465.0,スカパー！／スカパー！プレミアムサービス
1752,2014,20140323,J1,４,鹿島アントラーズ,セレッソ大阪,0-2,カシマ,15:04,32099.0,スカパー！／スカパー！プレミアムサービス
1753,2014,20140323,J1,４,浦和レッズ,清水エスパルス,1-1,埼玉,15:04,0.0,スカパー！／スカパー！プレミアムサービス／テレ玉
1754,2014,20140323,J1,４,名古屋グランパス,ヴィッセル神戸,2-1,瑞穂陸,15:04,10737.0,スカパー！／スカパー！プレミアムサービス／東海テレビ（録）
1755,2014,20140323,J1,４,ガンバ大阪,サンフレッチェ広島,1-1,万博,16:03,18301.0,スカパー！／スカパー！プレミアムサービス
1756,2014,20140323,J1,４,ＦＣ東京,川崎フロンターレ,0-4,味スタ,19:04,23172.0,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１／ＴＯＫＹＯ　ＭＸ
1757,2014,20140323,J3,３,Ｙ．Ｓ．Ｃ．Ｃ．横浜,ＦＣ町田ゼルビア,1-1,ニッパ球,13:00,1819.0,なし
1758,2014,20140323,J3,３,藤枝ＭＹＦＣ,ＦＣ琉球,2-2,藤枝サ,13:00,856.0,なし
1759,2014,20140323,J3,３,ガイナーレ鳥取,ＳＣ相模原,1-0,とりスタ,13:00,2535.0,なし
1760,2014,20140323,J3,３,ブラウブリッツ秋田,福島ユナイテッドＦＣ,2-2,秋田球,13:02,1807.0,秋田テレビ
1761,2014,20140323,J3,３,ＡＣ長野パルセイロ,ツエーゲン金沢,2-1,佐久,13:04,3073.0,スカパー！プレミアムサービス
1762,2014,20140323,J3,３,いわてグルージャ盛岡,Ｊリーグ・アンダー２２選抜,6-1,盛岡南,13:05,3048.0,テレビ岩手
1763,2014,20140328,J1,５,川崎フロンターレ,名古屋グランパス,1-0,等々力,19:04,12431.0,スカパー！／スカパー！プレミアムサービス
1764,2014,20140329,J1,５,セレッソ大阪,アルビレックス新潟,0-0,金鳥スタ,14:04,15232.0,スカパー！／スカパー！プレミアムサービス
1765,2014,20140329,J1,５,ベガルタ仙台,ヴァンフォーレ甲府,1-1,ユアスタ,14:04,11144.0,スカパー！／スカパー！プレミアムサービス
1766,2014,20140329,J1,５,サンフレッチェ広島,徳島ヴォルティス,3-1,Ｅスタ,14:04,11766.0,スカパー！／スカパー！プレミアムサービス
1767,2014,20140329,J1,５,横浜Ｆ・マリノス,鹿島アントラーズ,1-3,日産ス,14:04,27764.0,スカパー！／スカパー！プレミアムサービス
1768,2014,20140329,J1,５,柏レイソル,大宮アルディージャ,2-2,柏,15:03,11568.0,スカパー！／スカパー！プレミアムサービス
1769,2014,20140329,J1,５,ヴィッセル神戸,浦和レッズ,3-1,ノエスタ,15:04,12174.0,スカパー！／スカパー！プレミアムサービス
1770,2014,20140329,J1,５,清水エスパルス,ＦＣ東京,1-3,アイスタ,15:05,14420.0,スカパー！／スカパー！プレミアムサービス／静岡放送
1771,2014,20140329,J1,５,サガン鳥栖,ガンバ大阪,2-0,ベアスタ,19:04,12115.0,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
1772,2014,20140329,J3,４,ツエーゲン金沢,Ｙ．Ｓ．Ｃ．Ｃ．横浜,4-0,福井,13:00,658.0,なし
1773,2014,20140330,J2,５,ファジアーノ岡山,大分トリニータ,1-1,カンスタ,13:03,6401.0,スカパー！／スカパー！プレミアムサービス
1774,2014,20140330,J2,５,栃木ＳＣ,ジュビロ磐田,0-2,栃木グ,13:03,6194.0,スカパー！／スカパー！プレミアムサービス／とちぎテレビ（録）
1775,2014,20140330,J2,５,アビスパ福岡,横浜ＦＣ,1-0,レベスタ,13:03,5181.0,スカパー！／スカパー！プレミアムサービス
1776,2014,20140330,J2,５,松本山雅ＦＣ,湘南ベルマーレ,1-4,松本,13:04,9124.0,スカパー！／スカパー！プレミアムサービス
1777,2014,20140330,J2,５,ザスパクサツ群馬,カターレ富山,2-0,正田スタ,13:04,1814.0,スカパー！／スカパー！プレミアムサービス
1778,2014,20140330,J2,５,ギラヴァンツ北九州,カマタマーレ讃岐,2-1,本城,14:03,1573.0,スカパー！／スカパー！プレミアムサービス
1779,2014,20140330,J2,５,ジェフユナイテッド千葉,ロアッソ熊本,3-0,フクアリ,16:03,5957.0,スカパー！／スカパー！プレミアムサービス
1780,2014,20140330,J2,５,愛媛ＦＣ,ＦＣ岐阜,0-0,ニンスタ,16:04,3532.0,スカパー！／スカパー！プレミアムサービス
1781,2014,20140330,J2,５,モンテディオ山形,水戸ホーリーホック,0-0,ＮＤスタ,16:04,4270.0,スカパー！／スカパー！プレミアムサービス
1782,2014,20140330,J2,５,京都サンガF.C.,北海道コンサドーレ札幌,1-1,西京極,16:04,4703.0,スカパー！／スカパー！プレミアムサービス
1783,2014,20140330,J2,５,東京ヴェルディ,Ｖ・ファーレン長崎,1-5,味スタ,17:03,2529.0,スカパー！／スカパー！プレミアムサービス
1784,2014,20140330,J3,４,ＦＣ琉球,いわてグルージャ盛岡,0-1,沖縄県陸,13:00,863.0,なし
1785,2014,20140330,J3,４,ＦＣ町田ゼルビア,ＳＣ相模原,2-0,町田,13:00,2163.0,なし
1786,2014,20140330,J3,４,ＡＣ長野パルセイロ,藤枝ＭＹＦＣ,1-4,佐久,13:00,1655.0,なし
1787,2014,20140330,J3,４,ブラウブリッツ秋田,Ｊリーグ・アンダー２２選抜,1-2,秋田球,13:00,1053.0,なし
1788,2014,20140330,J3,４,福島ユナイテッドＦＣ,ガイナーレ鳥取,0-1,とうスタ,14:00,504.0,なし
1789,2014,20140402,ＹＮＣ 予選Ａグループ,２,鹿島アントラーズ,サガン鳥栖,3-1,カシマ,19:00,6966.0,フジテレビＯＮＥ／フジテレビＮＥＸＴ（録）／スカパー！／スカパー！プレミアムサービス
1790,2014,20140402,ＹＮＣ 予選Ａグループ,２,ベガルタ仙台,ＦＣ東京,1-1,ユアスタ,19:03,7094.0,フジテレビＮＥＸＴ（録）／スカパー！／スカパー！プレミアムサービス
1791,2014,20140402,ＹＮＣ 予選Ａグループ,２,清水エスパルス,ガンバ大阪,1-0,アイスタ,19:04,8033.0,フジテレビＮＥＸＴ（録）／スカパー！／スカパー！プレミアムサービス
1792,2014,20140402,ＹＮＣ 予選Ｂグループ,２,アルビレックス新潟,名古屋グランパス,3-3,デンカＳ,19:00,8505.0,フジテレビＮＥＸＴ（録）／スカパー！／スカパー！プレミアムサービス
1793,2014,20140402,ＹＮＣ 予選Ｂグループ,２,ヴァンフォーレ甲府,柏レイソル,1-1,中銀スタ,19:03,6174.0,フジテレビＮＥＸＴ（録）／スカパー！／スカパー！プレミアムサービス
1794,2014,20140402,ＹＮＣ 予選Ｂグループ,２,浦和レッズ,大宮アルディージャ,2-1,埼玉,19:31,20697.0,フジテレビＮＥＸＴ／スカパー！／スカパー！プレミアムサービス／テレ玉（録）
1795,2014,20140405,J2,６,カマタマーレ讃岐,栃木ＳＣ,0-1,丸亀,13:03,1450.0,スカパー！／スカパー！プレミアムサービス
1796,2014,20140405,J2,６,Ｖ・ファーレン長崎,ギラヴァンツ北九州,1-1,長崎県立,13:03,3048.0,スカパー！／スカパー！プレミアムサービス
1797,2014,20140405,J2,６,北海道コンサドーレ札幌,松本山雅ＦＣ,1-0,札幌ド,13:03,9723.0,スカパー！／スカパー！プレミアムサービス
1798,2014,20140405,J2,６,カターレ富山,東京ヴェルディ,0-3,富山,13:04,2873.0,スカパー！／スカパー！プレミアムサービス
1799,2014,20140405,J2,６,水戸ホーリーホック,ジェフユナイテッド千葉,1-2,Ｋｓスタ,13:04,4140.0,スカパー！／スカパー！プレミアムサービス
1800,2014,20140405,J2,６,ＦＣ岐阜,アビスパ福岡,1-2,長良川,13:04,5022.0,スカパー！／スカパー！プレミアムサービス／岐阜放送（録）
1801,2014,20140405,J2,６,ジュビロ磐田,ザスパクサツ群馬,2-0,ヤマハ,15:03,7014.0,スカパー！／スカパー！プレミアムサービス
1802,2014,20140405,J2,６,大分トリニータ,京都サンガF.C.,0-3,大銀ド,16:03,6108.0,スカパー！／スカパー！プレミアムサービス
1803,2014,20140405,J2,６,横浜ＦＣ,ロアッソ熊本,0-1,ニッパ球,16:03,3719.0,スカパー！／スカパー！プレミアムサービス
1804,2014,20140405,J2,６,湘南ベルマーレ,ファジアーノ岡山,2-0,ＢＭＷス,16:04,7117.0,スカパー！／スカパー！プレミアムサービス
1805,2014,20140405,J2,６,モンテディオ山形,愛媛ＦＣ,2-0,ＮＤスタ,16:04,4371.0,スカパー！／スカパー！プレミアムサービス
1806,2014,20140406,J1,６,アルビレックス新潟,横浜Ｆ・マリノス,0-0,デンカＳ,13:03,21132.0,スカパー！／スカパー！プレミアムサービス
1807,2014,20140406,J1,６,名古屋グランパス,サンフレッチェ広島,2-5,豊田ス,13:04,15214.0,スカパー！／スカパー！プレミアムサービス／ＮＨＫ名古屋
1808,2014,20140406,J1,６,徳島ヴォルティス,川崎フロンターレ,0-4,鳴門大塚,13:04,8467.0,スカパー！／スカパー！プレミアムサービス／ＮＨＫ徳島
1809,2014,20140406,J1,６,柏レイソル,セレッソ大阪,2-1,柏,15:03,13731.0,スカパー！／スカパー！プレミアムサービス
1810,2014,20140406,J1,６,大宮アルディージャ,ヴィッセル神戸,0-3,ＮＡＣＫ,15:04,9870.0,スカパー！／スカパー！プレミアムサービス
1811,2014,20140406,J1,６,ヴァンフォーレ甲府,清水エスパルス,0-1,中銀スタ,15:04,10144.0,スカパー！／スカパー！プレミアムサービス／山梨放送
1812,2014,20140406,J1,６,ガンバ大阪,鹿島アントラーズ,0-2,万博,16:03,12899.0,スカパー！／スカパー！プレミアムサービス
1813,2014,20140406,J1,６,ＦＣ東京,サガン鳥栖,2-1,味スタ,16:04,14165.0,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ
1814,2014,20140406,J1,６,浦和レッズ,ベガルタ仙台,4-0,埼玉,19:04,26762.0,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１／テレ玉
1815,2014,20140406,J3,５,いわてグルージャ盛岡,ＦＣ町田ゼルビア,1-4,盛岡南,13:00,1405.0,なし
1816,2014,20140406,J3,５,藤枝ＭＹＦＣ,福島ユナイテッドＦＣ,0-0,藤枝サ,13:00,1046.0,なし
1817,2014,20140406,J3,５,Ｙ．Ｓ．Ｃ．Ｃ．横浜,Ｊリーグ・アンダー２２選抜,0-2,ニッパ球,13:00,897.0,なし
1818,2014,20140406,J3,５,ＳＣ相模原,ブラウブリッツ秋田,3-0,ギオンス,13:00,3315.0,なし
1819,2014,20140406,J3,５,ガイナーレ鳥取,ＡＣ長野パルセイロ,1-1,とりスタ,13:03,1832.0,スカパー！プレミアムサービス
1820,2014,20140411,J1,７,川崎フロンターレ,柏レイソル,1-1,等々力,19:04,12379.0,スカパー！／スカパー！プレミアムサービス
1821,2014,20140412,J1,７,セレッソ大阪,ガンバ大阪,2-2,ヤンマー,14:04,42723.0,スカパー！／スカパー！プレミアムサービス／ＮＨＫ大阪
1822,2014,20140412,J1,７,横浜Ｆ・マリノス,ベガルタ仙台,0-2,日産ス,14:04,19181.0,スカパー！／スカパー！プレミアムサービス
1823,2014,20140412,J1,７,鹿島アントラーズ,アルビレックス新潟,1-2,カシマ,15:04,11953.0,スカパー！／スカパー！プレミアムサービス
1824,2014,20140412,J1,７,清水エスパルス,大宮アルディージャ,2-0,アイスタ,15:04,11497.0,スカパー！／スカパー！プレミアムサービス
1825,2014,20140412,J1,７,ヴィッセル神戸,徳島ヴォルティス,3-0,ノエスタ,15:04,13408.0,スカパー！／スカパー！プレミアムサービス
1826,2014,20140412,J1,７,名古屋グランパス,浦和レッズ,1-2,豊田ス,15:04,19505.0,スカパー！／スカパー！プレミアムサービス
1827,2014,20140412,J1,７,サガン鳥栖,ヴァンフォーレ甲府,2-0,ベアスタ,18:04,8276.0,スカパー！／スカパー！プレミアムサービス
1828,2014,20140412,J1,７,サンフレッチェ広島,ＦＣ東京,1-0,Ｅスタ,19:04,12529.0,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
1829,2014,20140413,J2,７,大分トリニータ,北海道コンサドーレ札幌,1-0,大銀ド,13:03,6072.0,スカパー！／スカパー！プレミアムサービス
1830,2014,20140413,J2,７,栃木ＳＣ,松本山雅ＦＣ,1-2,栃木グ,13:03,6887.0,スカパー！／スカパー！プレミアムサービス／とちぎテレビ（録）
1831,2014,20140413,J2,７,ザスパクサツ群馬,水戸ホーリーホック,0-1,正田スタ,13:04,6407.0,スカパー！／スカパー！プレミアムサービス／群馬テレビ
1832,2014,20140413,J2,７,横浜ＦＣ,ＦＣ岐阜,0-1,ニッパ球,14:03,5658.0,スカパー！／スカパー！プレミアムサービス
1833,2014,20140413,J2,７,京都サンガF.C.,モンテディオ山形,2-2,西京極,14:04,6565.0,スカパー！／スカパー！プレミアムサービス／ＫＢＳ京都（録）
1834,2014,20140413,J2,７,愛媛ＦＣ,カターレ富山,4-0,ニンスタ,14:04,2272.0,スカパー！／スカパー！プレミアムサービス／ＮＨＫ松山
1835,2014,20140413,J2,７,ギラヴァンツ北九州,ジュビロ磐田,3-2,本城,16:03,3970.0,スカパー！／スカパー！プレミアムサービス
1836,2014,20140413,J2,７,アビスパ福岡,Ｖ・ファーレン長崎,2-5,レベスタ,16:03,4833.0,スカパー！／スカパー！プレミアムサービス／テレビ西日本（録）
1837,2014,20140413,J2,７,ジェフユナイテッド千葉,湘南ベルマーレ,0-6,フクアリ,17:03,9305.0,スカパー！／スカパー！プレミアムサービス
1838,2014,20140413,J2,７,東京ヴェルディ,ファジアーノ岡山,0-1,国立,17:03,5473.0,スカパー！／スカパー！プレミアムサービス
1839,2014,20140413,J2,７,ロアッソ熊本,カマタマーレ讃岐,4-1,うまスタ,19:03,6574.0,スカパー！／スカパー！プレミアムサービス
1840,2014,20140413,J3,６,ＦＣ琉球,ＳＣ相模原,0-0,沖縄市陸,13:00,1021.0,なし
1841,2014,20140413,J3,６,ブラウブリッツ秋田,いわてグルージャ盛岡,2-1,秋田球,13:00,1523.0,なし
1842,2014,20140413,J3,６,ＦＣ町田ゼルビア,ツエーゲン金沢,0-0,町田,13:00,2968.0,なし
1843,2014,20140413,J3,６,ＡＣ長野パルセイロ,Ｙ．Ｓ．Ｃ．Ｃ．横浜,0-0,佐久,13:01,2235.0,長野放送
1844,2014,20140413,J3,６,藤枝ＭＹＦＣ,ガイナーレ鳥取,0-2,藤枝サ,13:04,1113.0,なし
1845,2014,20140413,J3,６,福島ユナイテッドＦＣ,Ｊリーグ・アンダー２２選抜,0-1,とうスタ,14:00,1074.0,なし
1846,2014,20140416,ＹＮＣ 予選Ａグループ,３,サガン鳥栖,ガンバ大阪,0-2,ベアスタ,19:00,4972.0,フジテレビＮＥＸＴ（録）／スカパー！／スカパー！プレミアムサービス
1847,2014,20140416,ＹＮＣ 予選Ａグループ,３,ベガルタ仙台,鹿島アントラーズ,1-2,ユアスタ,19:04,7583.0,フジテレビＮＥＸＴ（録）／スカパー！／スカパー！プレミアムサービス
1848,2014,20140416,ＹＮＣ 予選Ａグループ,３,ヴィッセル神戸,ＦＣ東京,0-3,ノエスタ,19:04,6455.0,フジテレビＮＥＸＴ（録）／スカパー！／スカパー！プレミアムサービス
1849,2014,20140416,ＹＮＣ 予選Ｂグループ,３,アルビレックス新潟,ヴァンフォーレ甲府,1-0,デンカＳ,19:00,7765.0,フジテレビＮＥＸＴ（録）／スカパー！／スカパー！プレミアムサービス
1850,2014,20140416,ＹＮＣ 予選Ｂグループ,３,大宮アルディージャ,柏レイソル,1-1,ＮＡＣＫ,19:02,5082.0,フジテレビＮＥＸＴ（録）／スカパー！／スカパー！プレミアムサービス
1851,2014,20140416,ＹＮＣ 予選Ｂグループ,３,浦和レッズ,徳島ヴォルティス,4-3,埼玉,19:30,16294.0,フジテレビＮＥＸＴ／スカパー！／スカパー！プレミアムサービス
1852,2014,20140416,J3,５,ツエーゲン金沢,ＦＣ琉球,2-1,石川西部,19:00,1113.0,なし
1853,2014,20140419,J1,８,ベガルタ仙台,サガン鳥栖,0-3,ユアスタ,14:04,11413.0,スカパー！／スカパー！プレミアムサービス
1854,2014,20140419,J1,８,徳島ヴォルティス,清水エスパルス,0-4,鳴門大塚,14:04,6113.0,スカパー！／スカパー！プレミアムサービス
1855,2014,20140419,J1,８,柏レイソル,横浜Ｆ・マリノス,0-0,柏,15:04,11436.0,スカパー！／スカパー！プレミアムサービス
1856,2014,20140419,J1,８,鹿島アントラーズ,ヴィッセル神戸,2-3,カシマ,15:04,11952.0,スカパー！／スカパー！プレミアムサービス
1857,2014,20140419,J1,８,ＦＣ東京,セレッソ大阪,2-0,味スタ,16:04,40761.0,スカパー！／スカパー！プレミアムサービス
