,第n回,種別,No,開催日,試合結果,くじ結果,当選金_1,当選金_2,当選金_3,次回への繰越金_1,次回への繰越金_2,次回への繰越金_3,当せん口数_1,当せん口数_2,当せん口数_3,販売開始日,販売終了日,結果発表日,払戻開始日,払戻期限,ホーム,アウェイ
27,551,mini toto-A組,5,20120310,0-0,0,14349,0,0,0,0,0,735,0,0,2012年02月20日(月),2012年03月10日(土),2012年03月10日(土),2012年03月13日(火),2013年03月12日(火),サガン鳥栖,セレッソ大阪
28,551,mini toto-B組,1,20120310,0-0,0,14840,0,0,0,0,0,520,0,0,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),北海道コンサドーレ札幌,ジュビロ磐田
29,551,mini toto-B組,2,20120310,1-0,1,14840,0,0,0,0,0,520,0,0,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),川崎フロンターレ,アルビレックス新潟
30,551,mini toto-B組,3,20120310,0-1,2,14840,0,0,0,0,0,520,0,0,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),大宮アルディージャ,ＦＣ東京
31,551,mini toto-B組,4,20120311,3-3,0,14840,0,0,0,0,0,520,0,0,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),柏レイソル,横浜Ｆ・マリノス
32,551,mini toto-B組,5,20120311,0-0,0,14840,0,0,0,0,0,520,0,0,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),ギラヴァンツ北九州,ファジアーノ岡山
33,552,toto,1,20120317,0-1,2,4513700,67358,6400,0,0,0,14,201,2116,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),鹿島アントラーズ,川崎フロンターレ
34,552,toto,2,20120317,0-2,2,4513700,67358,6400,0,0,0,14,201,2116,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),横浜Ｆ・マリノス,ベガルタ仙台
35,552,toto,3,20120317,1-2,2,4513700,67358,6400,0,0,0,14,201,2116,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),アルビレックス新潟,大宮アルディージャ
36,552,toto,4,20120317,2-1,1,4513700,67358,6400,0,0,0,14,201,2116,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),ジュビロ磐田,サガン鳥栖
37,552,toto,5,20120317,2-1,1,4513700,67358,6400,0,0,0,14,201,2116,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),ヴィッセル神戸,北海道コンサドーレ札幌
38,552,toto,6,20120317,1-0,1,4513700,67358,6400,0,0,0,14,201,2116,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),浦和レッズ,柏レイソル
39,552,toto,7,20120317,2-1,1,4513700,67358,6400,0,0,0,14,201,2116,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),セレッソ大阪,ガンバ大阪
40,552,toto,8,20120317,2-1,1,4513700,67358,6400,0,0,0,14,201,2116,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),清水エスパルス,サンフレッチェ広島
41,552,toto,9,20120317,3-2,1,4513700,67358,6400,0,0,0,14,201,2116,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),ＦＣ東京,名古屋グランパス
42,552,toto,10,20120317,2-1,1,4513700,67358,6400,0,0,0,14,201,2116,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),ヴァンフォーレ甲府,愛媛ＦＣ
43,552,toto,11,20120317,1-0,1,4513700,67358,6400,0,0,0,14,201,2116,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),松本山雅ＦＣ,ギラヴァンツ北九州
44,552,toto,12,20120317,0-3,2,4513700,67358,6400,0,0,0,14,201,2116,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),ファジアーノ岡山,水戸ホーリーホック
45,552,toto,13,20120317,3-0,1,4513700,67358,6400,0,0,0,14,201,2116,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),ジェフユナイテッド千葉,横浜ＦＣ
46,552,mini toto-A組,1,20120317,0-1,2,4684,0,0,0,0,0,2189,0,0,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),鹿島アントラーズ,川崎フロンターレ
47,552,mini toto-A組,2,20120317,0-2,2,4684,0,0,0,0,0,2189,0,0,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),横浜Ｆ・マリノス,ベガルタ仙台
48,552,mini toto-A組,3,20120317,1-2,2,4684,0,0,0,0,0,2189,0,0,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),アルビレックス新潟,大宮アルディージャ
49,552,mini toto-A組,4,20120317,2-1,1,4684,0,0,0,0,0,2189,0,0,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),ジュビロ磐田,サガン鳥栖
50,552,mini toto-A組,5,20120317,2-1,1,4684,0,0,0,0,0,2189,0,0,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),ヴィッセル神戸,北海道コンサドーレ札幌
51,552,mini toto-B組,1,20120317,1-0,1,5859,0,0,0,0,0,1515,0,0,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),浦和レッズ,柏レイソル
52,552,mini toto-B組,2,20120317,2-1,1,5859,0,0,0,0,0,1515,0,0,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),セレッソ大阪,ガンバ大阪
53,552,mini toto-B組,3,20120317,2-1,1,5859,0,0,0,0,0,1515,0,0,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),清水エスパルス,サンフレッチェ広島
54,552,mini toto-B組,4,20120317,3-2,1,5859,0,0,0,0,0,1515,0,0,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),ＦＣ東京,名古屋グランパス
55,552,mini toto-B組,5,20120317,2-1,1,5859,0,0,0,0,0,1515,0,0,2012年03月10日(土),2012年03月17日(土),2012年03月17日(土),2012年03月21日(水),2013年03月21日(木),ヴァンフォーレ甲府,愛媛ＦＣ
56,553,toto,1,20120320,1-0,1,34811280,438814,51090,0,0,0,1,17,146,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),浦和レッズ,ベガルタ仙台
57,553,toto,2,20120320,2-1,1,34811280,438814,51090,0,0,0,1,17,146,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),サガン鳥栖,川崎フロンターレ
58,553,toto,3,20120320,2-1,1,34811280,438814,51090,0,0,0,1,17,146,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),ジュビロ磐田,セレッソ大阪
59,553,toto,4,20120320,2-1,1,34811280,438814,51090,0,0,0,1,17,146,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),湘南ベルマーレ,ＦＣ岐阜
60,553,toto,5,20120320,3-0,1,34811280,438814,51090,0,0,0,1,17,146,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),愛媛ＦＣ,松本山雅ＦＣ
61,553,toto,6,20120320,0-1,2,34811280,438814,51090,0,0,0,1,17,146,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),北海道コンサドーレ札幌,アルビレックス新潟
62,553,toto,7,20120320,2-0,1,34811280,438814,51090,0,0,0,1,17,146,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),鹿島アントラーズ,ヴィッセル神戸
63,553,toto,8,20120320,1-1,0,34811280,438814,51090,0,0,0,1,17,146,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),大宮アルディージャ,横浜Ｆ・マリノス
64,553,toto,9,20120320,0-0,0,34811280,438814,51090,0,0,0,1,17,146,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),横浜ＦＣ,東京ヴェルディ
65,553,toto,10,20120320,2-1,1,34811280,438814,51090,0,0,0,1,17,146,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),ガイナーレ鳥取,京都サンガF.C.
66,553,toto,11,20120320,2-1,1,34811280,438814,51090,0,0,0,1,17,146,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),モンテディオ山形,ヴァンフォーレ甲府
67,553,toto,12,20120320,1-0,1,34811280,438814,51090,0,0,0,1,17,146,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),ギラヴァンツ北九州,水戸ホーリーホック
68,553,toto,13,20120320,0-0,0,34811280,438814,51090,0,0,0,1,17,146,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),栃木ＳＣ,カターレ富山
69,553,mini toto-A組,1,20120320,1-0,1,4871,0,0,0,0,0,1338,0,0,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),浦和レッズ,ベガルタ仙台
70,553,mini toto-A組,2,20120320,2-1,1,4871,0,0,0,0,0,1338,0,0,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),サガン鳥栖,川崎フロンターレ
71,553,mini toto-A組,3,20120320,2-1,1,4871,0,0,0,0,0,1338,0,0,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),ジュビロ磐田,セレッソ大阪
72,553,mini toto-A組,4,20120320,2-1,1,4871,0,0,0,0,0,1338,0,0,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),湘南ベルマーレ,ＦＣ岐阜
73,553,mini toto-A組,5,20120320,3-0,1,4871,0,0,0,0,0,1338,0,0,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),愛媛ＦＣ,松本山雅ＦＣ
74,553,mini toto-B組,1,20120320,0-1,2,68445,0,0,0,0,0,77,0,0,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),北海道コンサドーレ札幌,アルビレックス新潟
75,553,mini toto-B組,2,20120320,2-0,1,68445,0,0,0,0,0,77,0,0,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),鹿島アントラーズ,ヴィッセル神戸
76,553,mini toto-B組,3,20120320,1-1,0,68445,0,0,0,0,0,77,0,0,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),大宮アルディージャ,横浜Ｆ・マリノス
77,553,mini toto-B組,4,20120320,0-0,0,68445,0,0,0,0,0,77,0,0,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),横浜ＦＣ,東京ヴェルディ
78,553,mini toto-B組,5,20120320,2-1,1,68445,0,0,0,0,0,77,0,0,2012年03月13日(火),2012年03月20日(火),2012年03月20日(火),2012年03月22日(木),2013年03月21日(木),ガイナーレ鳥取,京都サンガF.C.
79,554,toto,1,20120324,4-1,1,1460572,11250,1170,0,0,0,40,1109,10729,2012年03月17日(土),2012年03月24日(土),2012年03月25日(日),2012年03月27日(火),2013年03月26日(火),ベガルタ仙台,大宮アルディージャ
80,554,toto,2,20120324,2-0,1,1460572,11250,1170,0,0,0,40,1109,10729,2012年03月17日(土),2012年03月24日(土),2012年03月25日(日),2012年03月27日(火),2013年03月26日(火),サンフレッチェ広島,鹿島アントラーズ
81,554,toto,3,20120324,0-1,2,1460572,11250,1170,0,0,0,40,1109,10729,2012年03月17日(土),2012年03月24日(土),2012年03月25日(日),2012年03月27日(火),2013年03月26日(火),川崎フロンターレ,セレッソ大阪
82,554,toto,4,20120324,0-2,2,1460572,11250,1170,0,0,0,40,1109,10729,2012年03月17日(土),2012年03月24日(土),2012年03月25日(日),2012年03月27日(火),2013年03月26日(火),ヴィッセル神戸,ＦＣ東京
