,年月日,H_team,proba_0,proba_1,proba_2,pred
0,20190222,セレッソ大阪,0.297972023487091,0.3974673151969909,0.3045606613159179,1
0,20190223,サガン鳥栖,0.2592680752277374,0.3774110376834869,0.3633208870887756,0
0,20190223,ベガルタ仙台,0.2596801221370697,0.4346921741962433,0.305627703666687,1
0,20190223,サンフレッチェ広島,0.2860936522483825,0.4099453389644623,0.3039609491825104,1
0,20190223,ガンバ大阪,0.2596801221370697,0.4346921741962433,0.305627703666687,1
0,20190223,ジュビロ磐田,0.2848124802112579,0.3548944294452667,0.3602930605411529,0
0,20190223,鹿島アントラーズ,0.33061084151268,0.3548630774021148,0.3145260810852051,2
0,20190223,湘南ベルマーレ,0.2530487477779388,0.3956959247589111,0.3512552678585052,1
0,20190223,川崎フロンターレ,0.2553213536739349,0.3855389058589935,0.3591397106647491,2
0,20190224,栃木ＳＣ,0.2419129163026809,0.3924808204174042,0.365606278181076,2
0,20190224,鹿児島ユナイテッドＦＣ,0.2563149333000183,0.3878684341907501,0.3558166325092315,2
0,20190224,ファジアーノ岡山,0.2461813688278198,0.4120959043502807,0.341722697019577,1
0,20190224,大宮アルディージャ,0.2536874711513519,0.4115839302539825,0.3347285687923431,1
0,20190224,京都サンガF.C.,0.2461813688278198,0.4120959043502807,0.341722697019577,1
0,20190224,Ｖ・ファーレン長崎,0.2860936522483825,0.4099453389644623,0.3039609491825104,1
0,20190224,ＦＣ琉球,0.2577475011348724,0.4181709587574005,0.324081540107727,1
0,20190224,愛媛ＦＣ,0.2592680752277374,0.3774110376834869,0.3633208870887756,0
0,20190224,レノファ山口ＦＣ,0.2394077330827713,0.4157989025115967,0.3447933197021484,1
0,20190224,ＦＣ町田ゼルビア,0.2518889605998993,0.3811708092689514,0.3669402599334717,0
0,20190224,ＦＣ岐阜,0.2592680752277374,0.3774110376834869,0.3633208870887756,0
0,20190301,川崎フロンターレ,0.2596801221370697,0.4346921741962433,0.305627703666687,1
0,20190301,サンフレッチェ広島,0.2596801221370697,0.4346921741962433,0.305627703666687,1
0,20190302,ヴィッセル神戸,0.297917366027832,0.4295785129070282,0.2725041508674621,1
0,20190302,大分トリニータ,0.2457576692104339,0.3842947483062744,0.369947612285614,0
0,20190302,清水エスパルス,0.2709621489048004,0.4222405850887298,0.3067972064018249,1
0,20190302,名古屋グランパス,0.2676782608032226,0.4480806887149811,0.2842410504817962,1
0,20190302,横浜Ｆ・マリノス,0.2503666579723358,0.4348321557044983,0.3148011565208435,1
0,20190302,レノファ山口ＦＣ,0.2389920055866241,0.3877419233322143,0.3732660710811615,0
0,20190302,湘南ベルマーレ,0.2709621489048004,0.4222405850887298,0.3067972064018249,1
0,20190302,大宮アルディージャ,0.2592680752277374,0.3774110376834869,0.3633208870887756,0
0,20190302,柏レイソル,0.2494928389787674,0.4041609466075897,0.3463461697101593,1
0,20190302,アビスパ福岡,0.2487342208623886,0.3889492154121399,0.3623165190219879,2
0,20190302,京都サンガF.C.,0.2434009313583374,0.4074415862560272,0.3491575419902801,1
0,20190302,浦和レッズ,0.2709621489048004,0.4222405850887298,0.3067972064018249,1
0,20190303,愛媛ＦＣ,0.2596801221370697,0.4346921741962433,0.305627703666687,1
0,20190303,徳島ヴォルティス,0.2569584250450134,0.3687163591384887,0.3743252456188202,0
0,20190303,水戸ホーリーホック,0.2494928389787674,0.4041609466075897,0.3463461697101593,1
0,20190303,横浜ＦＣ,0.2637780010700226,0.3839760422706604,0.3522458970546722,2
0,20190303,ジェフユナイテッド千葉,0.2526595592498779,0.4388144016265869,0.3085260093212127,1
0,20190303,ファジアーノ岡山,0.2457576692104339,0.3842947483062744,0.369947612285614,0
0,20190309,セレッソ大阪,0.2526595592498779,0.4388144016265869,0.3085260093212127,1
0,20190309,アビスパ福岡,0.2457576692104339,0.3842947483062744,0.369947612285614,0
0,20190309,松本山雅ＦＣ,0.266171395778656,0.4455583095550537,0.2882702648639679,1
0,20190309,ガンバ大阪,0.2508665323257446,0.351665735244751,0.3974677324295044,0
0,20190309,ジュビロ磐田,0.2487342208623886,0.3889492154121399,0.3623165190219879,2
0,20190309,鹿島アントラーズ,0.2457576692104339,0.3842947483062744,0.369947612285614,0
0,20190309,東京ヴェルディ,0.2518889605998993,0.3811708092689514,0.3669402599334717,0
0,20190309,Ｖ・ファーレン長崎,0.2537384033203125,0.344212532043457,0.4020490646362304,0
0,20190309,アルビレックス新潟,0.2461479008197784,0.3993516862392425,0.3545004427433014,1
0,20190309,ＦＣ岐阜,0.2568258643150329,0.4002119898796081,0.3429621160030365,1
0,20190309,藤枝ＭＹＦＣ,0.2563149333000183,0.3878684341907501,0.3558166325092315,2
0,20190309,鹿児島ユナイテッドＦＣ,0.2597777545452118,0.3628969192504883,0.3773252665996551,0
0,20190309,北海道コンサドーレ札幌,0.2570538818836212,0.4302959740161896,0.312650203704834,1
0,20190310,横浜Ｆ・マリノス,0.2770162224769592,0.4093318581581116,0.3136519193649292,1
0,20190310,Ｙ．Ｓ．Ｃ．Ｃ．横浜,0.2526595592498779,0.4388144016265869,0.3085260093212127,1
0,20190310,ＦＣ東京,0.266171395778656,0.4455583095550537,0.2882702648639679,1
0,20190310,ベガルタ仙台,0.2592680752277374,0.3774110376834869,0.3633208870887756,0
0,20190310,徳島ヴォルティス,0.2518889605998993,0.3811708092689514,0.3669402599334717,0
0,20190310,ＦＣ町田ゼルビア,0.2487342208623886,0.3889492154121399,0.3623165190219879,2
0,20190310,ＦＣ琉球,0.2745440304279327,0.4438797831535339,0.2815762162208557,1
