,年月日,H_team,proba_0_m1,proba_1_m1,proba_2_m1,pred_m1,proba_0_m2,proba_1_m2,pred_m2,pred_m3,pred_m4,pred_m5,pred_m6,pred_m7,pred_m8,y_H_result
0,20130302,大宮アルディージャ,0.7550534334411277,0.0604605136107802,0.1844860529480919,0.0,0.2475299806319294,0.7524700193680707,1.0,-0.4652343699409526,-11.424972862754656,0.0,1.0,0.0,1.0,0.0
0,20130302,横浜Ｆ・マリノス,0.8003457864403634,0.0520818288014873,0.1475723847581493,0.0,0.2475299806319294,0.7524700193680707,1.0,0.259378851170683,-13.28713446677648,0.0,1.0,0.0,1.0,1.0
0,20130302,名古屋グランパス,0.760478028754394,0.0631255541519815,0.1763964170936242,0.0,0.2475299806319294,0.7524700193680707,1.0,1.078297784706023,-11.153216850521858,0.0,1.0,1.0,1.0,0.0
0,20130302,サガン鳥栖,0.806039300383191,0.0525353632706526,0.1414253363461562,0.0,0.2475299806319294,0.7524700193680707,1.0,-0.4901411336168768,-11.276687627796491,0.0,1.0,1.0,1.0,0.0
0,20130302,大分トリニータ,0.739292335600319,0.0689802747281689,0.1917273896715119,0.0,0.2978008512445948,0.7021991487554051,1.0,-1.3552802707194516,-10.956058617310193,0.0,1.0,1.0,1.0,2.0
0,20130302,サンフレッチェ広島,0.7548107723354118,0.0614016490975745,0.1837875785670135,0.0,0.2475299806319294,0.7524700193680707,1.0,-0.5603666173286336,-15.728844537476109,0.0,1.0,1.0,1.0,2.0
0,20130302,ベガルタ仙台,0.806039300383191,0.0525353632706526,0.1414253363461562,0.0,0.2475299806319294,0.7524700193680707,1.0,0.3109793684662904,-12.782166352564673,0.0,1.0,1.0,1.0,0.0
0,20130302,セレッソ大阪,0.806039300383191,0.0525353632706526,0.1414253363461562,0.0,0.2475299806319294,0.7524700193680707,1.0,0.5638705966543138,-10.954325137463456,0.0,1.0,1.0,1.0,1.0
0,20130303,栃木ＳＣ,0.7994834553157759,0.054678668872938,0.145837875811286,0.0,0.2466762922254812,0.7533237077745187,1.0,0.3357779725233352,-11.855359452893026,0.0,1.0,1.0,1.0,2.0
0,20130303,ジェフユナイテッド千葉,0.7485149951114372,0.0660719056744293,0.1854130992141335,0.0,0.2466762922254812,0.7533237077745187,1.0,-0.9236598536225537,-11.172284131040216,0.0,1.0,1.0,1.0,2.0
0,20130303,ＦＣ岐阜,0.756139952884245,0.0624177027184536,0.1814423443973013,0.0,0.2466762922254812,0.7533237077745187,1.0,-0.8760900671408801,-11.49446427658404,0.0,1.0,2.0,1.0,2.0
0,20130303,徳島ヴォルティス,0.8010825852060216,0.0547880373572665,0.1441293774367119,0.0,0.2466762922254812,0.7533237077745187,1.0,-0.8851618399402206,-10.52006001202608,0.0,1.0,1.0,1.0,2.0
0,20130303,東京ヴェルディ,0.8101928604308138,0.0528551499641402,0.1369519896050459,0.0,0.2466762922254812,0.7533237077745187,1.0,0.0229554020755787,-11.30288270793244,0.0,1.0,1.0,1.0,2.0
0,20130303,柏レイソル,0.7813170090194435,0.0534715317172686,0.1652114592632879,0.0,0.2475299806319294,0.7524700193680707,1.0,-1.094239658138631,-15.946737508194929,0.0,1.0,0.0,1.0,1.0
0,20130303,ロアッソ熊本,0.8093168694699154,0.0552548987137007,0.1354282318163839,0.0,0.2466762922254812,0.7533237077745187,1.0,0.4427178829180307,-11.695398889241917,0.0,1.0,1.0,1.0,2.0
0,20130303,水戸ホーリーホック,0.8135629375344194,0.0519166924798428,0.1345203699857377,0.0,0.2466762922254812,0.7533237077745187,1.0,0.4172854142626478,-11.829912607096048,0.0,1.0,1.0,1.0,0.0
0,20130303,ファジアーノ岡山,0.8127483071697157,0.0583377924983619,0.1289139003319223,0.0,0.2466762922254812,0.7533237077745187,1.0,-1.0404846971461217,-4.382378036898444,0.0,1.0,0.0,1.0,0.0
0,20130303,愛媛ＦＣ,0.8150637130370344,0.0520124629441251,0.1329238240188403,0.0,0.2466762922254812,0.7533237077745187,1.0,0.6230289128040911,-11.357635235712223,0.0,1.0,1.0,1.0,1.0
0,20130303,ガンバ大阪,0.8087533978642639,0.0551688703884823,0.1360777317472536,0.0,0.2466762922254812,0.7533237077745187,1.0,0.7002780542536599,-11.864682361447194,0.0,1.0,1.0,1.0,0.0
0,20130303,ギラヴァンツ北九州,0.8049879480380634,0.0556963118853164,0.1393157400766201,0.0,0.2466762922254812,0.7533237077745187,1.0,-0.2820812512888765,-11.978190500441997,0.0,1.0,1.0,1.0,2.0
0,20130309,アルビレックス新潟,0.7800203897821429,0.0480591720441404,0.1719204381737165,0.0,0.2475299806319294,0.7524700193680707,1.0,-1.590935354895766,-9.769601888678151,0.0,1.0,0.0,1.0,2.0
0,20130309,清水エスパルス,0.8246661875357553,0.0569661615023897,0.1183676509618548,0.0,0.2520625520461875,0.7479374479538126,1.0,0.4417405019800846,-9.135820594507097,0.0,1.0,0.0,1.0,2.0
0,20130309,ＦＣ東京,0.7778436431434232,0.063139389742089,0.1590169671144878,0.0,0.2520625520461875,0.7479374479538126,1.0,0.6315554786416683,-9.297230539796146,0.0,1.0,0.0,1.0,1.0
0,20130309,鹿島アントラーズ,0.8143072668516202,0.051828771896149,0.1338639612522308,0.0,0.2479601175375551,0.7520398824624448,1.0,0.5687785554379384,-9.12035620581446,0.0,1.0,0.0,1.0,1.0
0,20130309,ヴァンフォーレ甲府,0.8248431583592284,0.0535813771476064,0.1215754644931653,0.0,0.2520625520461875,0.7479374479538126,1.0,-0.5062520885824322,-9.693045385076402,0.0,1.0,0.0,1.0,2.0
